run_id,stage,encoder,fusion,backbone,split_seed,init_seed,task,commutator,metric_name,metric_value,params
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,prediction,0.0,rel_l2,0.6105534872040153,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,0.0,mech_f1,0.6614583333331193,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,0.0,coef_mae,0.3209853336331434,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,prediction,0.0,rel_l2,0.11577613127883524,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,0.0,mech_f1,0.7906249999998034,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,0.0,coef_mae,0.18238275492039974,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,prediction,0.0,rel_l2,0.17597419768571854,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,0.0,mech_f1,0.7515624999998081,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,0.0,coef_mae,0.22170729166828096,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,prediction,0.0,rel_l2_decompose,0.13147504697553813,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,prediction,172311.2539391332,rel_l2,0.17010036518331617,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,172311.2539391332,mech_f1,0.7499999999998078,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,172311.2539391332,coef_mae,0.2219502209336497,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,prediction,382272.7594726958,rel_l2,0.17976303678005934,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,382272.7594726958,mech_f1,0.763020833333144,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,382272.7594726958,coef_mae,0.2140058093937114,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,prediction,721582.7054123809,rel_l2,0.18779130501206964,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,721582.7054123809,mech_f1,0.7546874999998148,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,721582.7054123809,coef_mae,0.22276843432337046,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,prediction,1359114.1334215156,rel_l2,0.23351138294674456,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,1359114.1334215156,mech_f1,0.7765624999998277,3645232
20260705T015648Z-554330d1-cell040,A,prose_tree,xattn,transformer,3,1,discovery,1359114.1334215156,coef_mae,0.1920470391632989,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,prediction,0.0,rel_l2,0.613865184597671,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,0.0,mech_f1,0.664062499999782,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,0.0,coef_mae,0.32154958015889856,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,prediction,0.0,rel_l2,0.1320148379309103,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,0.0,mech_f1,0.8156249999997953,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,0.0,coef_mae,0.17535147573798893,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,prediction,0.0,rel_l2,0.1787827918305993,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,0.0,mech_f1,0.7479166666664703,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,0.0,coef_mae,0.2291276720352471,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,prediction,0.0,rel_l2_decompose,0.1510736666386947,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,prediction,172311.2539391332,rel_l2,0.1748185808537528,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,172311.2539391332,mech_f1,0.7489583333331403,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,172311.2539391332,coef_mae,0.23722064660978504,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,prediction,382272.7594726958,rel_l2,0.18606862821616232,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,382272.7594726958,mech_f1,0.7359374999998094,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,382272.7594726958,coef_mae,0.24474345339694992,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,prediction,721582.7054123809,rel_l2,0.18559246649965644,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,721582.7054123809,mech_f1,0.7364583333331445,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,721582.7054123809,coef_mae,0.25149106222670525,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,prediction,1359114.1334215156,rel_l2,0.22878770134411752,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,1359114.1334215156,mech_f1,0.7364583333331705,3645232
20260705T015648Z-554330d1-cell039,A,prose_tree,xattn,transformer,3,0,discovery,1359114.1334215156,coef_mae,0.2204061767552048,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,prediction,0.0,rel_l2,0.6084724985994399,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,0.0,mech_f1,0.6458333333331259,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,0.0,coef_mae,0.34526179872336793,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,prediction,0.0,rel_l2,0.14468820724869147,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,0.0,mech_f1,0.7572916666664775,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,0.0,coef_mae,0.1778907119121868,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,prediction,0.0,rel_l2,0.20747846155427396,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,0.0,mech_f1,0.7109374999998062,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,0.0,coef_mae,0.2749796926509589,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,prediction,0.0,rel_l2_decompose,0.14639875665307045,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,prediction,172311.2539391332,rel_l2,0.19929566700011492,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,172311.2539391332,mech_f1,0.7343749999998117,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,172311.2539391332,coef_mae,0.25041667954064906,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,prediction,382272.7594726958,rel_l2,0.2081938860937953,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,382272.7594726958,mech_f1,0.7583333333331366,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,382272.7594726958,coef_mae,0.22227169445250183,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,prediction,721582.7054123809,rel_l2,0.21375845279544592,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,721582.7054123809,mech_f1,0.731770833333144,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,721582.7054123809,coef_mae,0.2426010116469115,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,prediction,1359114.1334215156,rel_l2,0.25824011745862663,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,1359114.1334215156,mech_f1,0.7567708333331584,3645232
20260705T015648Z-554330d1-cell041,A,prose_tree,xattn,transformer,3,2,discovery,1359114.1334215156,coef_mae,0.19888523747795261,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,prediction,0.0,rel_l2,0.35506681026890874,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,0.0,mech_f1,0.8104166666665018,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,0.0,coef_mae,0.055865872907452284,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,prediction,0.0,rel_l2,0.2926415679976344,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,0.0,mech_f1,0.6691220238094016,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,0.0,coef_mae,0.31881798325484856,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,prediction,0.0,rel_l2,0.19050762639380991,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,0.0,mech_f1,0.8312499999998125,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,0.0,coef_mae,0.07564813583157957,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,prediction,0.0,rel_l2,0.2218980526085943,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,0.0,mech_f1,0.5468749999998477,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,0.0,coef_mae,0.5564407188248879,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,prediction,0.0,rel_l2_decompose,0.18107781582511961,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,prediction,172311.2539391332,rel_l2,0.21625474956817925,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,172311.2539391332,mech_f1,0.5442708333331825,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,172311.2539391332,coef_mae,0.5419307298507192,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,prediction,382272.7594726958,rel_l2,0.22654578532092273,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,382272.7594726958,mech_f1,0.554687499999843,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,382272.7594726958,coef_mae,0.5318096331111519,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,prediction,721582.7054123809,rel_l2,0.22826517070643604,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,721582.7054123809,mech_f1,0.5677083333331688,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,721582.7054123809,coef_mae,0.5205464799182664,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,prediction,1359114.1334215156,rel_l2,0.2725965832360089,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,1359114.1334215156,mech_f1,0.50885416666653,3645232
20260705T020913Z-554330d1-cell053,A,lample_charton,xattn,transformer,2,2,discovery,1359114.1334215156,coef_mae,0.47210601671395125,3645232
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,prediction,0.0,rel_l2,0.33784301951527596,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,0.0,mech_f1,0.7999999999998384,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,0.0,coef_mae,0.06261493777856231,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,prediction,0.0,rel_l2,0.30586766521446407,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,0.0,mech_f1,0.7420386904760556,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,0.0,coef_mae,0.29307588301987075,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,prediction,0.0,rel_l2,0.1752217869507149,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,0.0,mech_f1,0.7802083333331643,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,0.0,coef_mae,0.080082757526543,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,prediction,0.0,rel_l2,0.198296899208799,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,0.0,mech_f1,0.554687499999843,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,0.0,coef_mae,0.5055997409508564,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,prediction,0.0,rel_l2_decompose,0.16661031206604093,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,prediction,172311.2539391332,rel_l2,0.18873603572137654,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,172311.2539391332,mech_f1,0.5468749999998476,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,172311.2539391332,coef_mae,0.5022846929496154,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,prediction,382272.7594726958,rel_l2,0.2010337677784264,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,382272.7594726958,mech_f1,0.5520833333331779,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,382272.7594726958,coef_mae,0.49341406792518683,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,prediction,721582.7054123809,rel_l2,0.20263373223133385,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,721582.7054123809,mech_f1,0.5624999999998359,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,721582.7054123809,coef_mae,0.4921703623258509,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,prediction,1359114.1334215156,rel_l2,0.22944398713298142,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,1359114.1334215156,mech_f1,0.4723958333332049,3644976
20260705T020826Z-554330d1-cell021,A,grammar_scrambled,xattn,transformer,2,0,discovery,1359114.1334215156,coef_mae,0.459038174682064,3644976
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,prediction,0.0,rel_l2,0.37938689114525914,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,0.0,mech_f1,0.9739583333330852,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,0.0,coef_mae,0.20714707840234042,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,prediction,0.0,rel_l2,0.41014005756005645,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,0.0,mech_f1,0.6624999999998893,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,0.0,coef_mae,0.3386624010823046,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,prediction,0.0,rel_l2,0.33381074760109186,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,0.0,mech_f1,0.7953124999998404,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,0.0,coef_mae,0.07758789733052254,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,prediction,0.0,rel_l2,0.20228112302720547,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,0.0,mech_f1,0.554687499999843,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,0.0,coef_mae,0.47502362995874137,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,prediction,0.0,rel_l2_decompose,0.18791888712439686,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,prediction,172311.2539391332,rel_l2,0.1944339433684945,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,172311.2539391332,mech_f1,0.5390624999998522,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,172311.2539391332,coef_mae,0.45748035481665283,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,prediction,382272.7594726958,rel_l2,0.20632721530273557,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,382272.7594726958,mech_f1,0.5520833333331753,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,382272.7594726958,coef_mae,0.46549294039141387,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,prediction,721582.7054123809,rel_l2,0.20290735736489296,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,721582.7054123809,mech_f1,0.5807291666664945,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,721582.7054123809,coef_mae,0.46439808420836926,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,prediction,1359114.1334215156,rel_l2,0.23834906285628676,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,1359114.1334215156,mech_f1,0.5124999999998543,3645232
20260705T020825Z-554330d1-cell045,A,lample_charton,xattn,transformer,0,0,discovery,1359114.1334215156,coef_mae,0.4187985783792101,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,0.0,rel_l2,0.6037889134604484,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,0.0,mech_f1,0.666666666666447,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,0.0,coef_mae,0.3439116885885596,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,0.0,rel_l2,0.13602933450601995,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,0.0,mech_f1,0.7812499999998083,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,0.0,coef_mae,0.1697571073425934,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,0.0,rel_l2,0.1708754092687741,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,0.0,mech_f1,0.7640624999997973,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,0.0,coef_mae,0.22760658524930477,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,0.0,rel_l2_decompose,0.14353350806050003,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,172311.2539391332,rel_l2,0.1633241983363405,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,172311.2539391332,mech_f1,0.7588541666664728,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,172311.2539391332,coef_mae,0.2274524231615942,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,382272.7594726958,rel_l2,0.17390292778145522,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,382272.7594726958,mech_f1,0.7526041666664698,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,382272.7594726958,coef_mae,0.2427357961423695,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,721582.7054123809,rel_l2,0.17996762692928314,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,721582.7054123809,mech_f1,0.7281994047617179,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,721582.7054123809,coef_mae,0.25277148821623996,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,1359114.1334215156,rel_l2,0.22372967004776,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,1359114.1334215156,mech_f1,0.7338541666665004,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,1359114.1334215156,coef_mae,0.21905341147794388,3645232
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,prediction,0.0,rel_l2,0.41553179919719696,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,0.0,mech_f1,0.7708333333331024,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,0.0,coef_mae,0.46738940421491865,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,prediction,0.0,rel_l2,0.23371114442124963,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,0.0,mech_f1,0.6854166666665411,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,0.0,coef_mae,0.3648069228132954,3644976
